nr,kommentar
1,Inga tecken på inflammation. Normala immunglobulinhalter. Ingen M-komponent påvisas i serum.
2,Inga tecken på inflammation. Normala immunglobulinhalter. Ingen M-komponent påvisas i serum. Inga hållpunkter för Bence-Jones proteinuri.
3,Inga tecken på inflammation. Normala immunglobulinhalter. Ingen M-komponent påvisas i serum. Ingen signifikant proteinuri.
4,Inga tecken på inflammation. Immunglobuliner med normala halter och polyklonal fördelning. Ingen M-komponent påvisas i serum.
5,Inga tecken på inflammation. Immunglobuliner med normala halter och är polyklonal fördelning. Ingen M-komponent påvisas i serum. Inga hållpunkter för Bence-Jones proteinuri.
8,Hypoalbuminemi.
9,Påtaglig hypoalbuminemi.
10,Grav hypoalbuminemi.
11,Breddökad albumintopp vilket kan ses vid ikterus eller uremi eller inbindning till läkemedel.
12,Atypiskt utseende på albumintoppen som inger misstanke om genetisk albuminvariant.
13,Genetisk albuminvariant utan känd klinisk relevans.
16,-stegring som enda tecken på inflammation.
17,Lätt förhöjd halt av CRP som enda tecken på inflammation.
18,Förhöjd halt av haptoglobin som enda tecken på inflammation.
19,Inga säkra tecken på inflammation.
20,Inga tecken på inflammation.
21,Tecken på diskret inflammation.
22,Tecken på lätt inflammation.
23,Tecken på lätt-måttlig inflammation.
24,Tecken på måttlig inflammation.
25,Tecken på måttlig-kraftig inflammation.
26,Tecken på kraftig inflammation.
27,Tecken på mycket kraftig inflammation.
30,Lätt sänkt halt av antitrypsin.
31,Önskar man påvisa/utesluta anlag för ärftlig antitrypsinbrist krävs Pi-typning.
32,Lätt sänkt halt av antitrypsin. Önskar man påvisa/utesluta anlag för ärftlig antitrypsinbrist krävs Pi-typning.
33,Patienten kan vara anlagsbärare för ärftlig antitrypsinbrist. Pi-typning krävs för att påvisa/utesluta detta.
35,Påtagligt sänkt halt av antitrypsin vilket inger misstanke om ärftlig antitrypsinbrist. Pi-typning bör övervägas.
36,Påtagligt sänkt halt av antitrypsin vilket inger misstanke om ärftlig antitrypsinbrist. Pi-typning rekommenderas.
37,Misstanke om genetisk antitrypsinvariant. För definitiv diagnos krävs Pi-typning.
40,Sänkt halt av haptoglobin som vid ökad erytrocytomsättning.
41,Haptoglobinelimination som vid hemolys.
42,Sänkt haptoglobinhalt vilket kan ses vid såväl hemolys som leverpåverkan.
43,Konstellation av akutfasreaktanter förenlig med leverpåverkan och eller ökad erytrocytomsättning/hemolys.
44,Konstellation av akutfasreaktanter förenlig med leverpåverkan och eller ökad erytrocytomsättning.
45,Leverpåverkan kan inte uteslutas.
46,Förhöjd halt av antitrypsin.
47,Leverpåverkan?
48,Östrogenpåverkan?
50,Elektroferogrammets transferrinfraktion ter sig klart förhöjd.
